Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,
"Phnom Penh, Cambodia",08/21/2020,35,26,29.6,,40.6,0,,11.2,,9.5,50.8,76.68,Partially cloudy,
"Phnom Penh, Cambodia",08/22/2020,34,26,29.2,,39.2,0,,13,,9.5,52,75.51,Partially cloudy,
"Phnom Penh, Cambodia",08/23/2020,34,26,29.4,,40.6,0,,14.8,,9.5,43.6,75.48,Partially cloudy,
"Phnom Penh, Cambodia",08/24/2020,35,26,30.3,,39.5,0,,13,,9.5,38.5,70.61,Partially cloudy,
"Phnom Penh, Cambodia",08/25/2020,36,27,31.5,,39.8,0,,16.6,,9.5,42.3,64.47,Partially cloudy,
"Phnom Penh, Cambodia",08/26/2020,35,27,30.9,,40.6,0,,14.8,,9.5,41.5,68.09,Partially cloudy,
"Phnom Penh, Cambodia",08/27/2020,35,27,30.9,,40.6,0,,18.4,37.1,9.5,43.3,65.14,Partially cloudy,
"Phnom Penh, Cambodia",08/28/2020,35,27,30,,40.6,0,,18.4,,9.4,40.5,69.85,Partially cloudy,
"Phnom Penh, Cambodia",08/29/2020,34,26,29.5,,40.6,0,,13,,9.5,44.4,73.25,Partially cloudy,
"Phnom Penh, Cambodia",08/30/2020,36.1,26,30.6,,40.9,0,,14.8,,9.5,41,66.81,Partially cloudy,
"Phnom Penh, Cambodia",08/31/2020,35.1,27,29.5,,40.8,0,,20.5,,9.5,47.3,75.15,Partially cloudy,
"Phnom Penh, Cambodia",09/01/2020,35,26,28.9,,40.6,0,,42.5,,9.3,49.3,79.58,Partially cloudy,Windy
"Phnom Penh, Cambodia",09/02/2020,34,25,28.1,,41.9,0,,33.5,55.4,8.9,59.7,82.75,Partially cloudy,
"Phnom Penh, Cambodia",09/03/2020,33,25,28.7,,39.2,0,,14.8,,9.5,58.9,80.43,Partially cloudy,
"Phnom Penh, Cambodia",09/04/2020,34,27,30.2,,41.9,0,,16.6,,9.5,41.7,75.3,Partially cloudy,
"Phnom Penh, Cambodia",09/05/2020,35,27,30.9,,43.3,0,,14.8,,9.5,48,72.57,Partially cloudy,
"Phnom Penh, Cambodia",09/06/2020,34,26,29.3,,40.6,0,,22.3,,9.4,42.8,76.18,Partially cloudy,
"Phnom Penh, Cambodia",09/07/2020,34,24,27.9,,39.3,0,,16.6,72.4,9.2,52.5,81.8,Partially cloudy,
"Phnom Penh, Cambodia",09/08/2020,34,25,29.6,,39.3,0,,13,,9.5,40.4,71.78,Partially cloudy,
"Phnom Penh, Cambodia",09/09/2020,34,26,29.7,,40.6,0,,27.9,46.4,9.5,39.5,72.75,Partially cloudy,
"Phnom Penh, Cambodia",09/10/2020,32,26,28.2,,37.9,0,,22.3,,9.4,50,81.57,Partially cloudy,
"Phnom Penh, Cambodia",09/11/2020,34,26,29,,40.6,0,,18.4,,9.5,48,79.71,Partially cloudy,
"Phnom Penh, Cambodia",09/12/2020,34,27,29.8,,40.6,0,,24.1,,9.5,48.1,75.62,Partially cloudy,
"Phnom Penh, Cambodia",09/13/2020,33,26,28,,40.6,0,,13,,9.3,54.7,85.65,Partially cloudy,
"Phnom Penh, Cambodia",09/14/2020,31,25,26.6,,37.7,0,,18.4,,9.2,50.5,90.82,Partially cloudy,
"Phnom Penh, Cambodia",09/15/2020,33,25,28.2,,39.2,0,,16.6,,9.3,53.7,81.59,Partially cloudy,
"Phnom Penh, Cambodia",09/16/2020,34,25,28.6,,39.3,0,,22.3,,9.6,46.8,75.82,Partially cloudy,
"Phnom Penh, Cambodia",09/17/2020,34,26,28.8,,40.6,0,,22.3,,9.7,45.6,79.81,Partially cloudy,
"Phnom Penh, Cambodia",09/18/2020,32,25,27.8,,37.9,0,,20.5,,9.8,45.1,82.68,Partially cloudy,
"Phnom Penh, Cambodia",09/19/2020,30,24,26.4,,35.1,0,,29.5,,9.3,57.4,88.27,Partially cloudy,
"Phnom Penh, Cambodia",09/20/2020,31,24,27.7,,35.5,0,,18.4,,9.5,50,80.79,Partially cloudy,
"Phnom Penh, Cambodia",09/21/2020,33,26,29.9,,39.2,0,,16.6,,9.5,50,73.44,Partially cloudy,
"Phnom Penh, Cambodia",09/22/2020,32,26,29,,40.6,0,,20.5,,9.1,50,78.97,Partially cloudy,
"Phnom Penh, Cambodia",09/23/2020,32,25,28.2,,37.9,0,,18.4,,9.6,49,75.22,Partially cloudy,
"Phnom Penh, Cambodia",09/24/2020,34,26,28.5,,39.3,0,,24.1,,9.2,51.3,80.52,Partially cloudy,
"Phnom Penh, Cambodia",09/25/2020,33,24,28.1,,40.6,0,,11.2,,9.3,54,78.69,Partially cloudy,
"Phnom Penh, Cambodia",09/26/2020,33,26,28.7,,38.1,0,,22.3,,9.5,53.2,76.25,Partially cloudy,
"Phnom Penh, Cambodia",09/27/2020,31,25,27,,39.1,0,,14.8,,8.8,62.1,87.15,Partially cloudy,
"Phnom Penh, Cambodia",09/28/2020,29,25,26.9,,34.5,0,,27.7,,9.4,58.7,86.81,Partially cloudy,
"Phnom Penh, Cambodia",09/29/2020,32,26,28.1,,36.8,0,,20.5,,9.6,50,79.19,Partially cloudy,
"Phnom Penh, Cambodia",09/30/2020,33,27,28.5,,38.1,0,,27.7,,9.4,49.2,77.05,Partially cloudy,
"Phnom Penh, Cambodia",10/01/2020,33,26,28.8,,39.2,0,,14.8,,9.3,51.4,81.1,Partially cloudy,
"Phnom Penh, Cambodia",10/02/2020,32,25,28.1,,39.2,0,,14.8,,9.3,54.2,82.75,Partially cloudy,
"Phnom Penh, Cambodia",10/03/2020,33,25,27.8,,40.6,0,,22.3,,9.5,53.6,83.98,Partially cloudy,
"Phnom Penh, Cambodia",10/04/2020,34,25,28.5,,39.3,0,,20.5,42.5,9.3,52.9,77.74,Partially cloudy,
"Phnom Penh, Cambodia",10/05/2020,31,25,26.7,,37.7,0,,20.5,40.7,8.9,63.1,90.17,Partially cloudy,
"Phnom Penh, Cambodia",10/06/2020,31,25,27.6,,37.7,0,,14.8,,9.5,50,84.52,Partially cloudy,
"Phnom Penh, Cambodia",10/07/2020,30,25,26.8,,36.2,0,,13,,8.8,61.4,90.74,Partially cloudy,
"Phnom Penh, Cambodia",10/08/2020,32,25,27.9,,40.6,0,,18.4,,9.6,59.8,85.56,Partially cloudy,
"Phnom Penh, Cambodia",10/09/2020,31,27,27.9,,39.1,0,,13,,9,71.1,87.83,Partially cloudy,
"Phnom Penh, Cambodia",10/10/2020,28,25,26.4,,33.5,0,,9.4,,9,74.3,94.11,Partially cloudy,
"Phnom Penh, Cambodia",10/11/2020,31,25,26.7,,36.5,0,,16.6,,9.1,75.9,90.45,Overcast,
"Phnom Penh, Cambodia",10/12/2020,32,25,27.3,,36.8,0,,14.8,,9.5,65.9,82.5,Partially cloudy,
"Phnom Penh, Cambodia",10/13/2020,31,24,26.3,,35.5,0,,14.8,,9,89.8,85.38,Overcast,
"Phnom Penh, Cambodia",10/14/2020,29,25,26.7,,33.6,0,,11.2,,9.3,72.6,86.88,Partially cloudy,
"Phnom Penh, Cambodia",10/15/2020,32,26,27.6,,37.9,0,,14.8,,9.3,72,85.27,Partially cloudy,
"Phnom Penh, Cambodia",10/16/2020,29,26,26.9,,34.5,0,,16.6,,9.5,87.3,89.89,Overcast,
"Phnom Penh, Cambodia",10/17/2020,30,25,26.6,,35.1,0,,22.3,,9.1,74.8,90.11,Partially cloudy,
"Phnom Penh, Cambodia",10/18/2020,31,25,26.7,,36.5,0,,22.3,,9.2,74.4,89.86,Partially cloudy,
"Phnom Penh, Cambodia",10/19/2020,32,25,27.3,,36.7,0,,13,,9.3,74.3,84.4,Partially cloudy,
"Phnom Penh, Cambodia",10/20/2020,31,25,27.5,,36.5,0,,16.6,,9.7,53.4,84.76,Partially cloudy,
"Phnom Penh, Cambodia",10/21/2020,31,26,27.9,,36.5,0,,16.6,,10,55.2,79.25,Partially cloudy,
"Phnom Penh, Cambodia",10/22/2020,28,25.2,27.2,,31.2,0,,7.2,,9.2,42.8,78.95,Partially cloudy,
"Phnom Penh, Cambodia",10/23/2020,31,26,27.9,,33,0,,14.8,,9.5,31.9,68.39,Partially cloudy,
"Phnom Penh, Cambodia",10/24/2020,31,25,27.9,,34.5,0,,14.8,,9.7,37.1,66.96,Partially cloudy,
"Phnom Penh, Cambodia",10/25/2020,32,26,28.5,,34.9,0,,13,,9.8,53.3,66.67,Partially cloudy,
"Phnom Penh, Cambodia",10/26/2020,31,25,27.9,,33.7,0,,14.8,,9.5,48.3,65.25,Partially cloudy,
"Phnom Penh, Cambodia",10/27/2020,31,25,27.8,,35.5,0,,14.8,,9.5,54.8,73.98,Partially cloudy,
"Phnom Penh, Cambodia",10/28/2020,30,26,27.6,,33.3,0,,13,,9.5,67.8,71.28,Partially cloudy,
"Phnom Penh, Cambodia",10/29/2020,32,26,27.4,,36.8,0,,22.3,55.4,9.4,66.6,81.92,Partially cloudy,
"Phnom Penh, Cambodia",10/30/2020,32,25,28.6,,37.9,0,,9.4,,9.5,42.2,78.21,Partially cloudy,
"Phnom Penh, Cambodia",10/31/2020,33,25,28.9,,39.2,0,,9.4,,9.5,50,79.43,Partially cloudy,
"Phnom Penh, Cambodia",11/01/2020,32,27,29.2,,36.8,0,,18.4,,9.7,47,76.18,Partially cloudy,
"Phnom Penh, Cambodia",11/02/2020,31,27,28.9,,34.5,0,,14.8,,9.8,43.3,69.12,Partially cloudy,
"Phnom Penh, Cambodia",11/03/2020,32,26,29,,34.5,0,,20.5,,9.6,38.6,63.53,Partially cloudy,
"Phnom Penh, Cambodia",11/04/2020,31,26,28.8,,34.5,0,,18.4,,9.8,30.8,65.05,Partially cloudy,
"Phnom Penh, Cambodia",11/05/2020,32,26,29,,35.8,0,,18.4,,9.8,44.4,68.49,Partially cloudy,
"Phnom Penh, Cambodia",11/06/2020,33,26,29.1,,38.1,0,,18.4,,9.6,43.2,72.8,Partially cloudy,
"Phnom Penh, Cambodia",11/07/2020,31,26,28.1,,36.5,0,,13,,9.5,53.2,79.04,Partially cloudy,
"Phnom Penh, Cambodia",11/08/2020,31,25,27.9,,34.5,0,,16.6,,9.4,50,76.73,Partially cloudy,
"Phnom Penh, Cambodia",11/09/2020,31,26,28.1,,33.7,0,,20.5,35.3,9.4,50,70.61,Partially cloudy,
"Phnom Penh, Cambodia",11/10/2020,29,25,27.2,,32.7,0,,24.1,40.7,9.5,61.3,64.91,Partially cloudy,
"Phnom Penh, Cambodia",11/11/2020,26,22,23.3,,,0,,20.5,,9.3,87.3,85.54,Overcast,
"Phnom Penh, Cambodia",11/12/2020,31.1,23,26.9,,35.6,0,,13,,9.4,51.6,81.91,Partially cloudy,
"Phnom Penh, Cambodia",11/13/2020,31,25,27.6,,33.7,0,,22.3,,9.5,45,73,Partially cloudy,
"Phnom Penh, Cambodia",11/14/2020,31,25,27.5,,33.7,0,,18.4,,9.8,31.1,66.35,Partially cloudy,
"Phnom Penh, Cambodia",11/15/2020,31,24.1,27.5,,33.3,0,,14.8,,9.5,28.6,64.7,Partially cloudy,Clear
"Phnom Penh, Cambodia",11/16/2020,33,25,28.7,,38.1,0,,14.8,,9.6,35.6,71.58,Partially cloudy,
"Phnom Penh, Cambodia",11/17/2020,33,26,29.7,,37,0,,20.5,,9.7,38.7,66.68,Partially cloudy,
"Phnom Penh, Cambodia",11/18/2020,33,26,29.8,,38.1,0,,11.2,,10,34.7,66.88,Partially cloudy,
"Phnom Penh, Cambodia",11/19/2020,34,27,30,,39.3,0,,11.2,,9.6,40.9,68.81,Partially cloudy,
"Phnom Penh, Cambodia",11/20/2020,34,25,28.2,,40.6,0,,11.2,,9.1,53.2,79.86,Partially cloudy,
"Phnom Penh, Cambodia",11/21/2020,32,24,27.8,,39.2,0,,13,35.3,9.3,54.9,83.5,Partially cloudy,
"Phnom Penh, Cambodia",11/22/2020,32,24,28.1,,36.8,0,,7.6,,9.6,58.1,75.96,Partially cloudy,
"Phnom Penh, Cambodia",11/23/2020,32,26,28.7,,35.8,0,,18.4,,9.5,38.5,69.43,Partially cloudy,
"Phnom Penh, Cambodia",11/24/2020,32,26,29.3,,34.9,0,,24.1,,9.5,28.9,62.97,Partially cloudy,Clear
"Phnom Penh, Cambodia",11/25/2020,32,26,29,,34.9,0,,29.5,,9.7,47.1,63.82,Partially cloudy,
"Phnom Penh, Cambodia",11/26/2020,32,25,28.4,,33.7,0,,27.7,,10,41.4,63.68,Partially cloudy,
"Phnom Penh, Cambodia",11/27/2020,33,25,29,,37,0,,31.7,,9.8,42.6,62.52,Partially cloudy,
"Phnom Penh, Cambodia",11/28/2020,32,25,28.4,,40.6,0,,25.9,,9.5,41.4,62.19,Partially cloudy,
"Phnom Penh, Cambodia",11/29/2020,30,26,27.7,,33.3,0,,20.5,,9.5,50,72.26,Partially cloudy,
"Phnom Penh, Cambodia",11/30/2020,29,25,26.8,,31.3,0,,25.9,46.4,9.6,48.1,71.72,Partially cloudy,
"Phnom Penh, Cambodia",12/01/2020,29,25,26.8,,31.3,0,,24.1,,9.5,47.5,70.97,Partially cloudy,
"Phnom Penh, Cambodia",12/02/2020,32,25,28.2,,34.9,0,,25.9,42.5,9.5,64.6,65.55,Partially cloudy,
"Phnom Penh, Cambodia",12/03/2020,31,24,27.4,,31.4,0,,37.1,42.5,9.5,39.8,56.42,Partially cloudy,
"Phnom Penh, Cambodia",12/04/2020,29,23,26.1,,29.4,0,,27.7,,9.5,26.9,56.84,Partially cloudy,Clear
"Phnom Penh, Cambodia",12/05/2020,29,23,25.5,,29.8,0,,25.9,,9.3,25,64.5,Clear,
"Phnom Penh, Cambodia",12/06/2020,29,23,25.9,,30.7,0,,20.5,,9.7,25,67.76,Clear,
"Phnom Penh, Cambodia",12/07/2020,29,24,26.7,,31.3,0,,24.1,,9.9,28.4,69.85,Partially cloudy,
"Phnom Penh, Cambodia",12/08/2020,31,25,27.8,,33.6,0,,22.3,,10,31.3,63.67,Partially cloudy,
