"Phnom Penh International Airport, Cambodia",Date,Time,Temperature (C),Dew Point (C),Humidity (%),Wind Direction,Wind Speed (km/h),Wind Gust (km/h),"Pressure (Inch, Hg)",Precipitation (Inch),Condition
"Phnom Penh International Airport, Cambodia",1/1/2019,0:00,26.11,18.89,65,N,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,0:30,25.00,18.89,69,N,11.27,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,1:00,25.00,18.89,69,N,12.87,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,1:30,25.00,20.00,74,N,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,2:00,25.00,20.00,74,NNW,12.87,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,2:30,25.00,18.89,69,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,3:00,25.00,18.89,69,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,3:30,23.89,18.89,73,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,4:00,23.89,18.89,73,NNW,12.87,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,4:30,23.89,18.89,73,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,5:00,22.78,18.89,78,NNW,11.27,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,5:30,22.78,18.89,78,NNW,9.66,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,6:00,22.78,18.89,78,NNW,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,6:30,22.78,18.89,78,N,12.87,0.00,29.94,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,7:00,22.78,17.78,73,N,16.09,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,7:30,23.89,17.78,69,N,19.31,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,8:00,23.89,17.78,69,N,19.31,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,8:30,22.78,18.89,78,NNE,20.92,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,9:00,23.89,17.78,69,NNE,20.92,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,9:30,25.00,17.78,65,N,16.09,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,10:00,25.00,17.78,65,N,22.53,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,10:30,25.00,17.78,65,NNE,24.14,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,11:00,26.11,17.78,61,NNE,22.53,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,11:30,26.11,17.78,61,NNE,20.92,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,12:00,27.22,17.78,58,NNE,20.92,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,12:30,27.22,17.78,58,NNE,19.31,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,13:00,27.22,17.78,58,NNE,22.53,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,13:30,27.22,17.78,58,NNE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,14:00,27.22,18.89,61,NE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,14:30,27.78,20.00,62,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,15:00,27.22,20.00,65,N,16.09,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,15:30,27.22,18.89,61,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,16:00,27.78,30.00,0,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,16:30,27.22,18.89,61,N,16.09,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,17:00,27.22,18.89,61,N,14.48,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,17:30,27.22,18.89,61,NNW,11.27,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,18:00,27.22,17.78,58,N,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,18:30,27.22,18.89,61,VAR,4.83,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,19:30,27.22,18.89,61,VAR,4.83,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,20:30,26.11,18.89,65,N,8.05,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,21:00,26.11,18.89,65,N,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,21:30,26.11,17.78,61,NNW,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,22:00,26.11,17.78,61,NNW,9.66,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,22:30,26.11,17.78,61,NNW,9.66,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,23:00,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,23:30,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,0:00,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,0:30,15.00,17.78,0,NNW,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,1:00,25.00,17.78,65,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,2:00,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,2:30,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,3:00,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,3:30,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,4:00,25.00,17.78,65,NNW,19.31,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,4:30,23.89,17.78,69,N,12.87,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,5:30,23.89,17.78,69,NNW,16.09,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,6:00,23.89,17.78,69,NNW,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,7:00,23.89,17.78,69,N,14.48,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,7:30,23.89,18.89,73,N,12.87,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,8:00,23.89,18.89,73,N,14.48,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,8:30,23.89,18.89,73,N,16.09,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,9:00,25.00,17.78,65,N,19.31,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,9:30,25.00,18.89,69,N,22.53,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,10:00,25.00,18.89,69,N,24.14,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,10:30,26.11,18.89,65,N,20.92,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,11:00,25.00,17.78,65,N,20.92,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,11:30,25.00,18.89,69,NNE,19.31,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,12:00,25.00,18.89,69,NNE,22.53,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,12:30,25.00,17.78,65,NNE,22.53,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,13:30,26.11,18.89,65,NNE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,14:00,26.11,18.89,65,NNE,16.09,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,14:30,26.11,18.89,65,NNE,19.31,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,15:00,26.11,18.89,65,NNE,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,15:30,26.11,20.00,69,NNE,19.31,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,16:00,26.11,18.89,65,NE,19.31,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,16:30,26.11,18.89,65,NNE,20.92,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,17:00,26.11,18.89,65,NNE,14.48,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,17:30,26.11,18.89,65,N,14.48,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,18:00,25.00,20.00,74,NNE,11.27,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,18:30,25.00,20.00,74,N,11.27,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,19:00,26.11,20.00,69,N,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,19:30,25.00,20.00,74,N,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,20:00,25.00,20.00,74,N,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,20:30,25.00,20.00,74,N,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,21:00,25.00,20.00,74,N,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,21:30,25.00,18.89,69,N,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,22:00,25.00,18.89,69,NNE,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,22:30,25.00,18.89,69,NNE,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,23:00,25.00,18.89,69,NNE,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,23:30,25.00,18.89,69,NNE,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,0:00,25.00,18.89,69,NNE,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,0:30,25.00,18.89,69,NNE,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,1:00,25.00,18.89,69,N,12.87,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,1:30,25.00,18.89,69,N,11.27,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,2:00,25.00,18.89,69,N,11.27,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,2:30,25.00,18.89,69,NNE,9.66,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,3:00,25.00,18.89,69,NNE,9.66,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,3:30,25.00,18.89,69,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,4:00,25.00,18.89,69,N,12.87,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,4:30,25.00,18.89,69,NNE,16.09,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,5:00,25.00,18.89,69,NNE,12.87,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,5:30,25.00,18.89,69,NNE,20.92,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,6:00,23.89,20.00,78,NNE,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,6:30,23.89,20.00,78,N,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,7:00,23.89,20.00,78,N,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,7:30,23.89,18.89,73,NNE,22.53,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,8:00,23.89,17.78,69,NNE,25.75,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,8:30,23.89,17.78,69,NNE,24.14,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,9:00,25.00,17.78,65,NNE,22.53,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,9:30,25.00,17.78,65,NNE,24.14,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,10:00,26.11,17.78,61,NNE,25.75,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,10:30,26.11,17.78,61,NNE,24.14,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,11:00,26.11,18.89,65,NNE,22.53,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,11:30,27.22,18.89,61,NNE,19.31,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,12:00,27.22,18.89,61,N,20.92,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,12:30,27.22,18.89,61,NNE,24.14,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,13:00,27.78,18.89,58,NNE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,13:30,27.78,20.00,62,N,20.92,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,14:00,27.78,20.00,62,NNE,22.53,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,14:30,27.78,20.00,62,N,20.92,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,15:00,28.89,20.00,58,N,22.53,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,15:30,28.89,18.89,55,N,19.31,0.00,29.79,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,16:00,27.78,18.89,58,N,20.92,0.00,29.79,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,16:30,27.78,18.89,58,N,14.48,0.00,29.82,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,17:00,27.78,18.89,58,N,16.09,0.00,29.82,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,17:30,27.78,20.00,62,N,9.66,0.00,29.82,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,18:00,27.78,20.00,62,N,9.66,0.00,29.82,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,18:30,27.78,20.00,62,N,8.05,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,19:00,27.78,20.00,62,N,8.05,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,19:30,27.22,21.11,70,N,11.27,0.00,29.88,0,Light Rain
"Phnom Penh International Airport, Cambodia",1/3/2019,20:00,26.11,21.11,74,NNE,11.27,0.00,29.88,0,Light Rain
"Phnom Penh International Airport, Cambodia",1/3/2019,20:30,25.00,21.11,78,ENE,8.05,0.00,29.91,0,Light Rain
"Phnom Penh International Airport, Cambodia",1/3/2019,21:00,23.89,22.22,89,VAR,3.22,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,21:30,23.89,22.22,89,ENE,11.27,0.00,29.91,0,Light Rain
"Phnom Penh International Airport, Cambodia",1/3/2019,22:00,23.89,22.22,89,NE,12.87,0.00,29.88,0,Light Rain
"Phnom Penh International Airport, Cambodia",1/3/2019,22:30,25.00,21.11,78,NNE,12.87,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/3/2019,23:00,25.00,21.11,78,N,11.27,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,0:00,25.00,20.00,74,NNE,12.87,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,0:30,25.00,20.00,74,NNE,8.05,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,1:00,25.00,20.00,74,NNE,9.66,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,1:30,25.00,20.00,74,NNE,9.66,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,2:00,23.89,20.00,78,NNE,9.66,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,2:30,23.89,20.00,78,NNE,8.05,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,3:00,23.89,21.11,83,NNE,12.87,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,3:30,23.89,21.11,83,NNE,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,4:00,23.89,21.11,83,NNE,9.66,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,4:30,23.89,21.11,83,NNE,8.05,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,5:00,23.89,21.11,83,NNE,9.66,0.00,0,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,5:30,25.00,22.22,83,NNE,11.27,0.00,0,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,6:00,25.00,22.22,83,NNE,11.27,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,6:30,25.00,22.22,83,NNE,9.66,0.00,29.85,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,7:00,25.00,22.22,83,NE,8.05,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,7:30,25.00,22.22,83,NE,9.66,0.00,29.88,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,8:00,26.11,22.22,78,NE,9.66,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,8:30,26.11,22.22,78,NE,12.87,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,9:00,26.11,22.22,78,NE,8.05,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,9:30,26.11,22.78,83,NNE,9.66,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,10:00,27.22,22.22,74,NNE,11.27,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,10:30,28.89,22.78,70,NE,16.09,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,11:00,28.89,22.78,70,E,9.66,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,11:30,28.89,22.22,66,E,9.66,0.00,29.91,0,Mostly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,12:00,30.00,22.78,66,N,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,12:30,31.11,22.78,62,ESE,9.66,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,13:00,31.11,22.78,62,E,16.09,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,13:30,31.11,22.22,58,E,16.09,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,14:00,32.22,22.22,55,E,20.92,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,14:30,32.22,22.22,55,E,19.31,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,15:00,32.22,22.22,55,E,14.48,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,15:30,32.22,22.22,55,E,16.09,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,16:00,32.22,22.22,55,ESE,12.87,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,16:30,31.11,22.22,58,E,11.27,0.00,29.79,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,17:00,31.11,22.22,58,E,8.05,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,17:30,31.11,22.22,58,SSE,8.05,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,18:00,30.00,23.89,70,VAR,1.61,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,18:30,30.00,23.89,70,N,3.22,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,19:00,30.00,23.89,70,WSW,3.22,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,19:30,28.89,23.89,74,VAR,1.61,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,20:00,28.89,23.89,74,NE,3.22,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,20:30,28.89,23.89,74,CALM,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,21:00,27.78,25.00,84,VAR,1.61,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,21:30,27.78,23.89,79,VAR,3.22,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,22:00,27.78,25.00,84,VAR,1.61,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,22:30,27.78,23.89,79,VAR,4.83,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,23:00,27.78,23.89,79,SE,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/4/2019,23:30,27.78,23.89,79,SE,8.05,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,0:00,27.22,22.78,79,SE,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,0:30,27.22,22.78,79,ESE,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,1:00,27.22,22.78,79,SE,9.66,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,1:30,27.22,22.78,79,VAR,4.83,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,2:00,27.22,22.78,79,E,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,2:30,27.22,22.78,79,VAR,4.83,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,3:00,27.22,22.22,74,VAR,3.22,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,3:30,27.22,22.22,74,VAR,3.22,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,4:30,26.11,22.78,83,VAR,1.61,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,5:30,25.00,23.89,94,NNW,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/5/2019,6:00,25.00,23.89,94,VAR,4.83,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,6:30,25.00,23.89,94,VAR,4.83,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,7:00,25.00,23.89,94,VAR,3.22,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,7:30,26.11,25.00,94,VAR,4.83,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,8:00,27.22,25.00,89,VAR,3.22,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,8:30,27.22,23.89,84,VAR,3.22,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,9:00,27.78,22.22,70,E,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,9:30,28.89,22.22,66,VAR,3.22,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,10:00,30.00,22.22,62,VAR,4.83,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,10:30,30.00,22.22,62,E,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,11:00,30.00,22.22,62,VAR,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,11:30,31.11,21.11,55,VAR,4.83,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,12:00,32.22,21.11,52,E,11.27,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,12:30,32.22,21.11,52,E,14.48,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,13:00,32.22,21.11,52,ESE,9.66,0.00,29.82,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,13:30,32.78,22.22,52,E,11.27,0.00,29.82,0,Fair
"Phnom Penh International Airport, Cambodia",1/5/2019,14:00,32.22,21.11,52,ESE,16.09,0.00,29.79,0,Partly Cloudy
